date,cid,name,creator,chats
2026-06-30,44cgf,Noemi,Sven,0
2026-06-30,4837G,Wesley 'Wes' Bright,Hush,6236
2026-06-30,483KH,One unforgettable night,Voxmire,14770
2026-06-30,48AZr,Kai Mercer Golden Boy,Minahil Potter,29
2026-06-30,48DdC,I Did Not Like My Dorm Roommate,TheDirkFiles,640
2026-06-30,48Dkt,Jackie,Evan,163
2026-06-30,48F7Z,Inoko - College Hang About,Riyuka,86
2026-06-30,48Gzm,Valen,Rhaen,55
2026-06-30,48LLb,Lisa part two,keithmerk,26
2026-06-30,48MkJ,Dr Nathaniel Sterling,Sarah,372
2026-06-30,48NDC,Dr Elena Voss,Felegrin,149
2026-06-30,48Qcy,Itachi,Drisnel,143
2026-06-30,48RR2,Secrets of Blackwood University,Minahil Potter,1
2026-06-30,48TWk,Byron,Naila,2343
2026-06-30,48XM2,You and Your Shy Dorm Roomate,fresa_bear,24
2026-06-30,48XcM,You and Your Strict Wolf Professor,fresa_bear,70
2026-06-30,48YdX,Non innamorarti del tuo professore,Diana,16376
2026-06-30,48fQN,Kei Tendou,Evan,10
2026-06-30,48md9,艾拉,夢想,1
2026-06-30,48qmC,Ruby,keithmerk,31
2026-06-30,48zkz,The Boundaries we Keep,Lucy Scarlet,9408
2026-06-30,4J82h,Midnight,Evan,6234
2026-06-30,4JASY,The Queen You Ignore,Vexx,6085
2026-06-30,4JNMH,Bethany first date,keithmerk,82
2026-06-30,4JdgJ,Student house,Voxmire,2160
2026-06-30,4Jq6k,Karim,Naila,730
2026-06-30,4JsXM,You and the Campus Maintenance Furry,fresa_bear,237
2026-06-30,4JsYY,拜倫,夢想,885
2026-06-30,4JuLK,Ren Akabane,Minty,8
2026-06-30,4KAS4,Andrew Young - Nerd,Sweet_Darling,0
2026-06-30,4KM2k,Professor Richelieu,Kugai,174
2026-06-30,4KMmg,Jude Lewis,User,305
2026-06-30,4KQfw,Luke Davis - Nerd,Sweet_Darling,571
2026-06-30,4KU6X,Julie Lewis,Sweet_Darling,12
2026-06-30,4KVNS,Meet Her Family,Marcus Goob,1907
2026-06-30,4KWke,The Trap Spinning the Classics,TheDirkFiles,399
2026-06-30,4Kkqw,Daisy Wants You To ''Play'',Marcus Goob,2672
2026-06-30,4U2cL,Tyler Your College Roommate,Atlas,304
2026-06-30,4UA75,Falling for the basketball coach,Voxmire,6568
2026-06-30,4UAph,The Freshman With the Sign,L-Scarlet,3022
2026-06-30,4UBUW,Cameron Hayes,Amal,153214
2026-06-30,4UBh5,Rush Week,TheDirkFiles,284843
2026-06-30,4UEGr,Simon Riley - A Winning Streak,Reaper,10456
2026-06-30,4UJ9J,Santa at school,keithmerk,32
2026-06-30,4ULFt,English teacher x  basketball coach,Voxmire,2463
2026-06-30,4UP8z,Deconstructing Rozochka,TheDirkFiles,7366
2026-06-30,4USJG,Zachary,珊兒,159
2026-06-30,4UVvq,璃月,夢想,352
2026-06-30,4Ubw5,夏海 - 和青梅竹馬的戀愛,"Hoshino_,",8160
2026-06-30,4UcKn,Eri,Evan,1315
2026-06-30,4UdEc,Wednesday and Enid - Your Roommates,Cloudz,1171
2026-06-30,4V36b,The Sunbae Problem,TheDirkFiles,933
2026-06-30,4VKbE,The Pick Me Who Ruined the Team,Lucy Scarlet,102448
2026-06-30,4VM6m,Sebastian Crowley,Hush,763
2026-06-30,4VQuk,你的真面目,夢想,264
2026-06-30,4VsYR,Emma Whitmore,Felegrin,135
2026-06-30,4VtVD,Monster World,Iggy Raven,468
2026-06-30,4XAkL,Hey Alexa,TheDirkFiles,164
2026-06-30,4XAyb,TF141 - Noctis Academy,Reaper,6523
2026-06-30,4XGGv,Rafferty Sinclair,Athena,2182
2026-06-30,4XJqa,Callum 'Cal' Garrick,Athena,1395
2026-06-30,4XZEs,Jude Mercer,Athena,947
2026-06-30,4XZKu,Lucian Frost,Athena,164
2026-06-30,4XZSV,Caspian de Crespigny,Athena,114
2026-06-30,4Xe3B,Damon,Loulou ⋆.˚✮,354
2026-06-30,4YU9q,You want a normal college experience,Iggy Raven,8
2026-06-30,4p7Hc,Geto,Loulou ⋆.˚✮,692
2026-06-30,4p7kS,Simon Riley - Dorm Roommate's,Reaper,13387
2026-06-30,4pefe,Lyra Benett,🌑Moon🌑,370
2026-06-30,4pmXt,Your Untouchable Crush,Diana,41619
2026-06-30,4pmZU,Simon Riley - Dormmates,Reaper,15183
2026-07-01,44cgf,Noemi,Sven,2
2026-07-01,4837G,Wesley 'Wes' Bright,Hush,7251
2026-07-01,483KH,One unforgettable night,Voxmire,16281
2026-07-01,48AZr,Kai Mercer Golden Boy,Minahil Potter,29
2026-07-01,48DdC,I Did Not Like My Dorm Roommate,TheDirkFiles,640
2026-07-01,48Dkt,Jackie,Evan,163
2026-07-01,48F7Z,Inoko - College Hang About,Riyuka,86
2026-07-01,48Gzm,Valen,Rhaen,55
2026-07-01,48LLb,Lisa part two,keithmerk,26
2026-07-01,48MkJ,Dr Nathaniel Sterling,Sarah,372
2026-07-01,48NDC,Dr Elena Voss,Felegrin,149
2026-07-01,48Qcy,Itachi,Drisnel,143
2026-07-01,48RR2,Secrets of Blackwood University,Minahil Potter,1
2026-07-01,48TWk,Byron,Naila,2450
2026-07-01,48XM2,You and Your Shy Dorm Roomate,fresa_bear,24
2026-07-01,48XcM,You and Your Strict Wolf Professor,fresa_bear,70
2026-07-01,48YdX,Non innamorarti del tuo professore,Diana,19023
2026-07-01,48fQN,Kei Tendou,Evan,10
2026-07-01,48md9,艾拉,夢想,1
2026-07-01,48qmC,Ruby,keithmerk,31
2026-07-01,48zkz,The Boundaries we Keep,Lucy Scarlet,9697
2026-07-01,4J82h,Midnight,Evan,6917
2026-07-01,4JASY,The Queen You Ignore,Vexx,9251
2026-07-01,4JNMH,Bethany first date,keithmerk,82
2026-07-01,4JdgJ,Student house,Voxmire,2705
2026-07-01,4Jq6k,Karim,Naila,736
2026-07-01,4JsXM,You and the Campus Maintenance Furry,fresa_bear,237
2026-07-01,4JsYY,拜倫,夢想,885
2026-07-01,4JuLK,Ren Akabane,Minty,8
2026-07-01,4KAS4,Andrew Young - Nerd,Sweet_Darling,0
2026-07-01,4KM2k,Professor Richelieu,Kugai,174
2026-07-01,4KMmg,Jude Lewis,User,305
2026-07-01,4KQfw,Luke Davis - Nerd,Sweet_Darling,571
2026-07-01,4KU6X,Julie Lewis,Sweet_Darling,12
2026-07-01,4KVNS,Meet Her Family,Marcus Goob,1950
2026-07-01,4KWke,The Trap Spinning the Classics,TheDirkFiles,399
2026-07-01,4Kkqw,Daisy Wants You To ''Play'',Marcus Goob,2679
2026-07-01,4U2cL,Tyler Your College Roommate,Atlas,304
2026-07-01,4UA75,Falling for the basketball coach,Voxmire,7013
2026-07-01,4UAph,The Freshman With the Sign,L-Scarlet,3034
2026-07-01,4UBUW,Cameron Hayes,Amal,194166
2026-07-01,4UBh5,Rush Week,TheDirkFiles,304753
2026-07-01,4UEGr,Simon Riley - A Winning Streak,Reaper,11485
2026-07-01,4UJ9J,Santa at school,keithmerk,32
2026-07-01,4ULFt,English teacher x  basketball coach,Voxmire,2473
2026-07-01,4UP8z,Deconstructing Rozochka,TheDirkFiles,7481
2026-07-01,4USJG,Zachary,珊兒,159
2026-07-01,4UVvq,璃月,夢想,352
2026-07-01,4Ubw5,夏海 - 和青梅竹馬的戀愛,"Hoshino_,",10113
2026-07-01,4UcKn,Eri,Evan,1323
2026-07-01,4UdEc,Wednesday and Enid - Your Roommates,Cloudz,1171
2026-07-01,4V36b,The Sunbae Problem,TheDirkFiles,933
2026-07-01,4VKbE,The Pick Me Who Ruined the Team,Lucy Scarlet,121150
2026-07-01,4VM6m,Sebastian Crowley,Hush,763
2026-07-01,4VQuk,你的真面目,夢想,264
2026-07-01,4VsYR,Emma Whitmore,Felegrin,135
2026-07-01,4VtVD,Monster World,Iggy Raven,468
2026-07-01,4XAkL,Hey Alexa,TheDirkFiles,164
2026-07-01,4XAyb,TF141 - Noctis Academy,Reaper,6898
2026-07-01,4XGGv,Rafferty Sinclair,Athena,2183
2026-07-01,4XJqa,Callum 'Cal' Garrick,Athena,1395
2026-07-01,4XZEs,Jude Mercer,Athena,948
2026-07-01,4XZKu,Lucian Frost,Athena,164
2026-07-01,4XZSV,Caspian de Crespigny,Athena,115
2026-07-01,4Xe3B,Damon,Loulou ⋆.˚✮,354
2026-07-01,4YU9q,You want a normal college experience,Iggy Raven,774
2026-07-01,4aA5L,Kian - Geheimer Campuswolf,Narzia 🫶🏻🤘🏻,0
2026-07-01,4p7Hc,Geto,Loulou ⋆.˚✮,692
2026-07-01,4p7kS,Simon Riley - Dorm Roommate's,Reaper,13756
2026-07-01,4pefe,Lyra Benett,🌑Moon🌑,370
2026-07-01,4pmXt,Your Untouchable Crush,Diana,57652
2026-07-01,4pmZU,Simon Riley - Dormmates,Reaper,15841
2026-07-02,44cgf,Noemi,Sven,2
2026-07-02,4837G,Wesley 'Wes' Bright,Hush,7702
2026-07-02,483KH,One unforgettable night,Voxmire,17334
2026-07-02,48AZr,Kai Mercer Golden Boy,Minahil Potter,29
2026-07-02,48DdC,I Did Not Like My Dorm Roommate,TheDirkFiles,640
2026-07-02,48Dkt,Jackie,Evan,163
2026-07-02,48F7Z,Inoko - College Hang About,Riyuka,86
2026-07-02,48Gzm,Valen,Rhaen,55
2026-07-02,48LLb,Lisa part two,keithmerk,26
2026-07-02,48MkJ,Dr Nathaniel Sterling,Sarah,372
2026-07-02,48NDC,Dr Elena Voss,Felegrin,149
2026-07-02,48Qcy,Itachi,Drisnel,143
2026-07-02,48RR2,Secrets of Blackwood University,Minahil Potter,1
2026-07-02,48TWk,Byron,Naila,2630
2026-07-02,48XM2,You and Your Shy Dorm Roomate,fresa_bear,24
2026-07-02,48XcM,You and Your Strict Wolf Professor,fresa_bear,70
2026-07-02,48YdX,Non innamorarti del tuo professore,Diana,21609
2026-07-02,48fQN,Kei Tendou,Evan,10
2026-07-02,48md9,艾拉,夢想,1
2026-07-02,48qmC,Ruby,keithmerk,31
2026-07-02,48zkz,The Boundaries we Keep,Lucy Scarlet,10480
2026-07-02,4J82h,Midnight,Evan,8054
2026-07-02,4JASY,The Queen You Ignore,Vexx,38539
2026-07-02,4JNMH,Bethany first date,keithmerk,82
2026-07-02,4JdgJ,Student house,Voxmire,3139
2026-07-02,4Jq6k,Karim,Naila,740
2026-07-02,4JsXM,You and the Campus Maintenance Furry,fresa_bear,237
2026-07-02,4JsYY,拜倫,夢想,885
2026-07-02,4JuLK,Ren Akabane,Minty,8
2026-07-02,4KAS4,Andrew Young - Nerd,Sweet_Darling,0
2026-07-02,4KM2k,Professor Richelieu,Kugai,174
2026-07-02,4KMmg,Jude Lewis,User,305
2026-07-02,4KQfw,Luke Davis - Nerd,Sweet_Darling,571
2026-07-02,4KU6X,Julie Lewis,Sweet_Darling,262
2026-07-02,4KVNS,Meet Her Family,Marcus Goob,1987
2026-07-02,4KWke,The Trap Spinning the Classics,TheDirkFiles,399
2026-07-02,4Kkqw,Daisy Wants You To ''Play'',Marcus Goob,2817
2026-07-02,4U2cL,Tyler Your College Roommate,Atlas,304
2026-07-02,4UA75,Falling for the basketball coach,Voxmire,7042
2026-07-02,4UAph,The Freshman With the Sign,L-Scarlet,3159
2026-07-02,4UBUW,Cameron Hayes,Amal,231757
2026-07-02,4UBh5,Rush Week,TheDirkFiles,322388
2026-07-02,4UEGr,Simon Riley - A Winning Streak,Reaper,11992
2026-07-02,4UJ9J,Santa at school,keithmerk,32
2026-07-02,4ULFt,English teacher x  basketball coach,Voxmire,2807
2026-07-02,4UP8z,Deconstructing Rozochka,TheDirkFiles,7650
2026-07-02,4USJG,Zachary,珊兒,159
2026-07-02,4UVvq,璃月,夢想,352
2026-07-02,4Ubw5,夏海 - 和青梅竹馬的戀愛,"Hoshino_,",11006
2026-07-02,4UcKn,Eri,Evan,1364
2026-07-02,4UdEc,Wednesday and Enid - Your Roommates,Cloudz,1462
2026-07-02,4V36b,The Sunbae Problem,TheDirkFiles,933
2026-07-02,4VKbE,The Pick Me Who Ruined the Team,Lucy Scarlet,136016
2026-07-02,4VM6m,Sebastian Crowley,Hush,764
2026-07-02,4VQuk,你的真面目,夢想,264
2026-07-02,4VsYR,Emma Whitmore,Felegrin,135
2026-07-02,4VtVD,Monster World,Iggy Raven,468
2026-07-02,4XAkL,Hey Alexa,TheDirkFiles,164
2026-07-02,4XAyb,TF141 - Noctis Academy,Reaper,6905
2026-07-02,4XGGv,Rafferty Sinclair,Athena,2183
2026-07-02,4XJqa,Callum 'Cal' Garrick,Athena,1491
2026-07-02,4XZEs,Jude Mercer,Athena,948
2026-07-02,4XZKu,Lucian Frost,Athena,164
2026-07-02,4XZSV,Caspian de Crespigny,Athena,115
2026-07-02,4Xe3B,Damon,Loulou ⋆.˚✮,354
2026-07-02,4YU9q,You want a normal college experience,Iggy Raven,944
2026-07-02,4aA5L,Kian - Geheimer Campuswolf,Narzia 🫶🏻🤘🏻,1869
2026-07-02,4acpU,Lenore Lovelace - Verbotene Resonanz,Narzia 🫶🏻🤘🏻,280
2026-07-02,4byyF,Aetherfall Academy,Astoria2tellya,0
2026-07-02,4p7Hc,Geto,Loulou ⋆.˚✮,692
2026-07-02,4p7kS,Simon Riley - Dorm Roommate's,Reaper,13940
2026-07-02,4pefe,Lyra Benett,🌑Moon🌑,370
2026-07-02,4pmXt,Your Untouchable Crush,Diana,68730
2026-07-02,4pmZU,Simon Riley - Dormmates,Reaper,16196
2026-07-03,48Gzm,Valen,Rhaen,55
2026-07-03,48TWk,Byron,Naila,2630
2026-07-03,48YdX,Non innamorarti del tuo professore,Diana,21609
2026-07-03,4Jq6k,Karim,Naila,740
2026-07-03,4UEGr,Simon Riley - A Winning Streak,Reaper,11992
2026-07-03,4XAyb,TF141 - Noctis Academy,Reaper,6905
2026-07-03,4Xe3B,Damon,Loulou ⋆.˚✮,354
2026-07-03,4p7Hc,Geto,Loulou ⋆.˚✮,692
2026-07-03,4p7kS,Simon Riley - Dorm Roommate's,Reaper,13940
2026-07-03,4pefe,Lyra Benett,🌑Moon🌑,370
2026-07-03,4pmXt,Your Untouchable Crush,Diana,68730
2026-07-03,4pmZU,Simon Riley - Dormmates,Reaper,16196
